case_id,amp,pw,Ea_mean,Ea_sigma,P0,Vth0,idmin0,idmax0,valid0,dV1,dV100,gradual,dP1,dP100,valid_ratio,is_small_all,is_fast_sat,is_good_prog,elapsed_s
A1p80_PW5p00e-01us_Em0p90_Es0p50,1.8,5e-07,0.9,0.5,-0.145000000000007,0.742453049382638,3.13417114221465e-23,3.33955621187574e-06,1,-0.0467026738761126,-0.0467026738761126,0,0.145000000000007,0.145000000000007,1,1,0,0,58.561567
A1p80_PW5p00e-01us_Em0p90_Es0p60,1.8,5e-07,0.9,0.6,-0.135000000000006,0.739130342079333,1.69391878653279e-23,3.35184932935398e-06,1,-0.0449339645776586,-0.0433799665728073,0.00155399800485134,0.140000000000006,0.135000000000006,1,1,0,0,60.0655129
A1p80_PW5p00e-01us_Em0p90_Es0p70,1.8,5e-07,0.9,0.7,-0.0750000000000028,0.71971435869501,1.6985739002011e-23,3.42566801693406e-06,1,-0.0239639831884848,-0.0255179811933361,0.00155399800485134,0.0750000000000031,0.0800000000000034,1,1,0,0,60.9151794
A1p80_PW5p00e-01us_Em0p95_Es0p20,1.8,5e-07,0.95,0.2,0.315000000000014,0.594118155496395,1.2356188866207e-22,3.90778274121679e-06,1,-0.0838786564318732,-0.0645099068531344,0.0193687495787388,0.260000000000011,0.200000000000009,1,0,0,0,31.0763003
A1p80_PW5p00e-01us_Em0p95_Es0p30,1.8,5e-07,0.95,0.3,0.0700000000000032,0.673238645305263,1.65532829334678e-23,3.60446995892775e-06,1,-0.0502041557866489,-0.0178284498163448,0.0323757059703041,0.155000000000007,0.0550000000000026,1,1,0,0,28.0089312
A1p80_PW5p00e-01us_Em0p95_Es0p40,1.8,5e-07,0.95,0.4,-0.0600000000000027,0.71514667447125,1.66635551868979e-23,3.44413848273631e-06,1,-0.0178619864554006,-0.014800679127667,0.00306130732773358,0.0550000000000026,0.045000000000002,1,1,0,0,27.7809603
A1p80_PW5p00e-01us_Em0p95_Es0p50,1.8,5e-07,0.95,0.5,-0.150000000000007,0.744156032991392,3.23253584937858e-23,3.33341074062754e-06,1,-0.0484056574848665,-0.0484056574848665,0,0.150000000000007,0.150000000000007,1,1,0,0,47.6994305
A1p80_PW5p00e-01us_Em0p95_Es0p60,1.8,5e-07,0.95,0.6,-0.165000000000007,0.749136811482715,3.09600001344659e-24,3.31497870356291e-06,1,-0.053386435976189,-0.053386435976189,0,0.165000000000007,0.165000000000007,1,0,1,0,56.7472886
A1p80_PW5p00e-01us_Em0p95_Es0p70,1.8,5e-07,0.95,0.7,-0.110000000000005,0.73138064208093,1.64569489410287e-23,3.3825947077991e-06,1,-0.0356302665744044,-0.0356302665744044,0,0.110000000000005,0.110000000000005,1,1,0,0,59.8382787
A1p80_PW5p00e-01us_Em1p00_Es0p20,1.8,5e-07,1,0.2,0.365000000000016,0.57780192448828,2.46446054582151e-22,3.96985366228705e-06,1,-0.0708331857876204,-0.0822060579495527,0.0113728721619322,0.22000000000001,0.255000000000011,1,0,0,0,31.3315001
A1p80_PW5p00e-01us_Em1p00_Es0p30,1.8,5e-07,1,0.3,0.090000000000004,0.666769822555309,1.75977048585137e-23,3.62917549562015e-06,1,-0.074226652707972,-0.0532635171989828,0.0209631355089892,0.23000000000001,0.165000000000008,1,0,0,0,27.9504225
A1p80_PW5p00e-01us_Em1p00_Es0p40,1.8,5e-07,1,0.4,-0.0500000000000023,0.712003069395618,9.13503073817031e-24,3.45645557696168e-06,1,-0.0162526938890919,-0.0116570740520346,0.00459561983705725,0.0500000000000022,0.0350000000000015,1,1,0,0,30.3249905
A1p80_PW5p00e-01us_Em1p00_Es0p50,1.8,5e-07,1,0.5,-0.180000000000008,0.753930218649596,9.29606532857761e-24,3.29655327873955e-06,1,-0.0581798431430705,-0.0581798431430705,0,0.180000000000008,0.180000000000008,1,0,1,0,54.4934264
A1p80_PW5p00e-01us_Em1p00_Es0p60,1.8,5e-07,1,0.6,-0.21500000000001,0.76518427900523,1.09946331191947e-23,3.25358668149372e-06,1,-0.0694339034987046,-0.0694339034987046,0,0.21500000000001,0.21500000000001,1,0,1,0,55.1800732
